year,region,atc,gender,age_group,num_prescriptions,num_patients,per_1000,narcotic_class
2006,25,N05BA05,2,18,0,0,0,IV
2006,25,N05CC01,2,9,0,0,0,V
2006,25,N05CF01,3,2,0,0,0,V
2006,25,N06BA01,1,6,0,0,0,II
2006,25,N06BA04,2,10,50,8,"5,84",II
2006,25,N06BA04,2,13,7,1,"0,87",II
2006,25,N06BA11,1,7,0,0,0,II
2006,25,N06BA12,3,10,0,0,0,II
2006,25,N07BC01,1,1,0,0,0,IV
2006,25,N07XX59,2,8,0,0,0,V
2006,25,R05FB02,3,5,2,2,"0,14",III
2006,3,M03BA02,3,15,110,19,"10,67",IV
2006,3,N01AH02,2,99,0,0,0,II
2006,3,N01AH03,2,8,0,0,0,II
2006,3,N01AH06,1,99,0,0,0,II
2006,3,N01AX03,3,11,0,0,0,IV
2006,3,N02AA05,3,16,413,51,"45,04",II
2006,3,N02AA55,3,3,0,0,0,II
2006,3,N02AJ06,1,18,524,132,"229,22",III
2006,3,N02AX01,1,5,0,0,0,II
2006,3,N02AX06,1,8,0,0,0,II
2006,3,N02CA72,3,17,23,7,3,IV
2006,3,N03AA02,3,15,44,6,"4,27",IV
2006,3,N03AX24,1,8,0,0,0,II
2006,3,N05BC01,3,18,0,0,0,IV
2006,3,N05CC01,2,4,0,0,0,V
2006,3,N05CC01,2,17,0,0,0,V
2006,3,N05CD02,1,6,37,13,"3,41",IV
2006,3,N05CD05,1,12,14,7,"1,26",IV
2006,3,N06BA01,3,10,0,0,0,II
2006,3,R05FA02,1,4,144,136,"12,82",III
2006,4,A08AA51,2,16,0,0,0,II
2006,4,N01AH01,2,3,0,0,0,II
2006,4,N01AH03,1,11,0,0,0,II
2006,4,N01AH51,1,15,0,0,0,II
2006,4,N02AA55,3,9,0,0,0,II
2006,4,N02AB02,3,15,16,1,"1,47",II
2006,4,N02AE01,3,7,33,2,"2,15",IV
2006,4,N02AJ06,3,14,1081,334,"79,58",III
2006,4,N02AX01,1,15,0,0,0,II
2006,4,N02AX06,2,11,0,0,0,II
2006,4,N02BG10,2,8,0,0,0,II
2006,4,N02CA72,1,3,1,1,"0,11",IV
2006,4,N02CA72,1,9,6,2,"0,66",IV
2006,4,N05BA02,2,1,0,0,0,IV
2006,4,N05BA06,2,16,22,7,"4,06",IV
2006,4,N05BA09,3,4,12,4,"0,66",IV
2006,4,N05CC01,2,12,0,0,0,V
2006,4,N05CD03,3,99,4459,908,"17,03",II
2006,4,N06BA11,3,6,0,0,0,II
2006,4,R05DA20,3,6,41,39,"3,2",II
2006,5,N01AH02,3,4,0,0,0,II
2006,5,N02AC04,1,13,589,217,"44,38",III
2006,5,N02AC54,1,4,0,0,0,III
2006,5,N02AD01,1,12,0,0,0,III
2006,5,N02AE01,3,99,555,117,"1,33",IV
2006,5,N02AG01,3,13,53,35,"2,01",II
